Alabama,30,52420.07,3.39
Alaska,1,665384.04,14.24
Arizona,6,113990.30,0.35
Arkansas,29,53178.55,2.15
California,3,163694.74,4.84
Colorado,8,104093.67,0.43
Delaware,49,2488.72,21.71
District of Columbia,,68.34,10.67
Florida,22,65757.70,18.45
Georgia,24,59425.15,3.22
Hawaii,43,10931.72,41.25
Idaho,14,83568.95,1.11
Illinois,25,57913.55,4.13
Indiana,38,36419.55,1.63
Iowa,26,56272.81,0.74
Kansas,15,82278.36,0.63
Kentucky,37,40407.80,2.28
Louisiana,31,52378.13,17.52
Maine,39,35379.74,12.82
Maryland,42,12405.93,21.75
Massachusetts,44,10554.39,26.10
Michigan,11,96713.51,41.54
Minnesota,12,86935.83,8.41
Mississippi,32,48431.78,3.11
Missouri,21,69706.99,1.39
Montana,4,147039.71,1.02
Nebraska,16,77347.81,0.68
Nevada,7,110571.82,0.72
New Hampshire,46,9349.16,4.24
New Jersey,47,8722.58,15.69
New Mexico,5,121590.30,0.24
New York,27,54554.98,13.62
North Carolina,28,53819.16,9.66
North Dakota,19,70698.32,2.40
Ohio,34,44825.58,8.85
Oklahoma,20,69898.87,1.87
Oregon,9,98378.54,2.43
Pennsylvania,33,46054.35,2.85
Rhode Island,50,1544.89,33.08
South Carolina,40,32020.49,6.12
South Dakota,17,77115.68,1.69
Tennessee,36,42144.25,2.16
Texas,2,268596.46,2.74
Utah,13,84896.88,3.21
Vermont,45,9616.36,4.16
Virginia,35,42774.93,7.68
Washington,18,71297.95,6.79
West Virginia,41,24230.04,0.79
Wisconsin,23,65496.38,17.31
Wyoming,10,97813.01,0.74
